moment,mw,rigidity,lat,lon,depth,vr,nsurface,strike,dip,xx,yy,mn,nn,m0,n0,tr,jtn,icmn,variance,modelid
1.752e+20,7.43,71.84,-37.466,179.774,102.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.37233,210515073305
1.77e+20,7.43,71.84,-37.466,179.774,92.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.3758,210515055223
1.735e+20,7.43,71.84,-37.466,179.774,82.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.33901,210515042701
1.563e+20,7.4,71.84,-37.466,179.774,72.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.27981,210515030140
1.479e+20,7.38,71.84,-37.466,179.774,62.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.29461,210515013620
1.401e+20,7.36,71.84,-37.466,179.774,52.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.30517,210515000554
1.613e+20,7.41,71.84,-37.466,179.774,42.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.32308,210514225237
2.344e+20,7.51,71.84,-37.466,179.774,32.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.32599,210514211842
3.563e+20,7.63,71.84,-37.466,179.774,22.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.34885,210514194718
3.53e+20,7.63,71.84,-37.466,179.774,12.0,5.0,0.0,200.0,0.0,5.0,5.0,14,8,6,2,0.6,54,5,0.36324,210514181350
1.491e+20,7.38,71.84,-37.466,179.774,102.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,1,0.6,54,5,0.2702,210514161437
1.592e+20,7.4,71.84,-37.466,179.774,92.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,2,0.6,54,5,0.26303,210514135725
1.649e+20,7.41,71.84,-37.466,179.774,82.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,3,0.6,54,5,0.26479,210514114312
1.729e+20,7.43,71.84,-37.466,179.774,72.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,4,0.6,54,5,0.26169,210514092034
1.593e+20,7.4,71.84,-37.466,179.774,62.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,5,0.6,54,5,0.26122,210514062939
1.502e+20,7.38,71.84,-37.466,179.774,52.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,6,0.6,54,5,0.261,210514033846
1.621e+20,7.41,71.84,-37.466,179.774,42.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,7,0.6,54,5,0.26259,210514011421
1.862e+20,7.45,71.84,-37.466,179.774,32.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,8,0.6,54,5,0.26731,210513225715
1.799e+20,7.44,71.84,-37.466,179.774,22.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,9,0.6,54,5,0.26999,210513204931
1.889e+20,7.45,71.84,-37.466,179.774,12.0,5.0,1.0,200.0,90.0,5.0,10.0,14,10,6,10,0.6,54,5,0.27779,210513185859
1.688e+20,7.42,71.84,-37.466,179.774,72.0,5.0,1.0,110.0,90.0,5.0,10.0,9,10,3,4,0.6,54,5,0.28431,210513180548
