,x,y,z,n,dist_along_strike
0,20.5212,56.3816,2.0,1,-60.000037233321784
1,15.3909,42.2862,2.0,2,-45.000027924991336
2,10.2606,28.1908,2.0,3,-30.000018616660892
3,5.1303,14.0954,2.0,4,-15.000009308330446
4,0.0,-0.0,2.0,5,-0.0
5,-5.1303,-14.0954,2.0,6,15.000009308330446
6,-10.2606,-28.1908,2.0,7,30.000018616660892
7,-15.3909,-42.2862,2.0,8,45.000027924991336
8,-20.5212,-56.3816,2.0,9,60.000037233321784
9,-25.6515,-70.4769,2.0,10,74.99995257238501
10,20.5212,56.3816,12.0,11,-60.000037233321784
11,15.3909,42.2862,12.0,12,-45.000027924991336
12,10.2606,28.1908,12.0,13,-30.000018616660892
13,5.1303,14.0954,12.0,14,-15.000009308330446
14,0.0,-0.0,12.0,15,-0.0
15,-5.1303,-14.0954,12.0,16,15.000009308330446
16,-10.2606,-28.1908,12.0,17,30.000018616660892
17,-15.3909,-42.2862,12.0,18,45.000027924991336
18,-20.5212,-56.3816,12.0,19,60.000037233321784
19,-25.6515,-70.4769,12.0,20,74.99995257238501
20,20.5212,56.3816,22.0,21,-60.000037233321784
21,15.3909,42.2862,22.0,22,-45.000027924991336
22,10.2606,28.1908,22.0,23,-30.000018616660892
23,5.1303,14.0954,22.0,24,-15.000009308330446
24,0.0,-0.0,22.0,25,-0.0
25,-5.1303,-14.0954,22.0,26,15.000009308330446
26,-10.2606,-28.1908,22.0,27,30.000018616660892
27,-15.3909,-42.2862,22.0,28,45.000027924991336
28,-20.5212,-56.3816,22.0,29,60.000037233321784
29,-25.6515,-70.4769,22.0,30,74.99995257238501
30,20.5212,56.3816,32.0,31,-60.000037233321784
31,15.3909,42.2862,32.0,32,-45.000027924991336
32,10.2606,28.1908,32.0,33,-30.000018616660892
33,5.1303,14.0954,32.0,34,-15.000009308330446
34,0.0,-0.0,32.0,35,-0.0
35,-5.1303,-14.0954,32.0,36,15.000009308330446
36,-10.2606,-28.1908,32.0,37,30.000018616660892
37,-15.3909,-42.2862,32.0,38,45.000027924991336
38,-20.5212,-56.3816,32.0,39,60.000037233321784
39,-25.6515,-70.4769,32.0,40,74.99995257238501
40,20.5212,56.3816,42.0,41,-60.000037233321784
41,15.3909,42.2862,42.0,42,-45.000027924991336
42,10.2606,28.1908,42.0,43,-30.000018616660892
43,5.1303,14.0954,42.0,44,-15.000009308330446
44,0.0,-0.0,42.0,45,-0.0
45,-5.1303,-14.0954,42.0,46,15.000009308330446
46,-10.2606,-28.1908,42.0,47,30.000018616660892
47,-15.3909,-42.2862,42.0,48,45.000027924991336
48,-20.5212,-56.3816,42.0,49,60.000037233321784
49,-25.6515,-70.4769,42.0,50,74.99995257238501
50,20.5212,56.3816,52.0,51,-60.000037233321784
51,15.3909,42.2862,52.0,52,-45.000027924991336
52,10.2606,28.1908,52.0,53,-30.000018616660892
53,5.1303,14.0954,52.0,54,-15.000009308330446
54,0.0,-0.0,52.0,55,-0.0
55,-5.1303,-14.0954,52.0,56,15.000009308330446
56,-10.2606,-28.1908,52.0,57,30.000018616660892
57,-15.3909,-42.2862,52.0,58,45.000027924991336
58,-20.5212,-56.3816,52.0,59,60.000037233321784
59,-25.6515,-70.4769,52.0,60,74.99995257238501
60,20.5212,56.3816,62.0,61,-60.000037233321784
61,15.3909,42.2862,62.0,62,-45.000027924991336
62,10.2606,28.1908,62.0,63,-30.000018616660892
63,5.1303,14.0954,62.0,64,-15.000009308330446
64,0.0,0.0,62.0,65,-0.0
65,-5.1303,-14.0954,62.0,66,15.000009308330446
66,-10.2606,-28.1908,62.0,67,30.000018616660892
67,-15.3909,-42.2862,62.0,68,45.000027924991336
68,-20.5212,-56.3816,62.0,69,60.000037233321784
69,-25.6515,-70.4769,62.0,70,74.99995257238501
70,20.5212,56.3816,72.0,71,-60.000037233321784
71,15.3909,42.2862,72.0,72,-45.000027924991336
72,10.2606,28.1908,72.0,73,-30.000018616660892
73,5.1303,14.0954,72.0,74,-15.000009308330446
74,-0.0,0.0,72.0,75,-0.0
75,-5.1303,-14.0954,72.0,76,15.000009308330446
76,-10.2606,-28.1908,72.0,77,30.000018616660892
77,-15.3909,-42.2862,72.0,78,45.000027924991336
78,-20.5212,-56.3816,72.0,79,60.000037233321784
79,-25.6515,-70.4769,72.0,80,74.99995257238501
80,20.5212,56.3816,82.0,81,-60.000037233321784
81,15.3909,42.2862,82.0,82,-45.000027924991336
82,10.2606,28.1908,82.0,83,-30.000018616660892
83,5.1303,14.0954,82.0,84,-15.000009308330446
84,-0.0,0.0,82.0,85,-0.0
85,-5.1303,-14.0954,82.0,86,15.000009308330446
86,-10.2606,-28.1908,82.0,87,30.000018616660892
87,-15.3909,-42.2862,82.0,88,45.000027924991336
88,-20.5212,-56.3816,82.0,89,60.000037233321784
89,-25.6515,-70.4769,82.0,90,74.99995257238501
